"recipient_id","pre_answer_composite","post_answer_composite","ele","arachnid_research","arachnid_course"
20,"16","22",0,0,0
82,"18","21",1,0,0
52,"20","19",1,0,0
85,"21","24",0,0,0
32,"21","23",1,0,0
65,"22","23",0,0,0
87,"23","22",0,0,0
21,"23","27",0,0,0
47,"24","24",0,0,0
33,"25","22",1,0,0
48,"25","28",0,0,0
96,"26","28",0,0,0
88,"26","28",1,0,0
75,"26","25",0,1,0
68,"26","28",1,0,0
60,"26","23",0,0,0
55,"27","28",1,0,0
5,"27","27",1,0,0
108,"27","28",0,0,0
84,"27","26",1,0,0
43,"27","30",0,0,0
71,"27","24",1,0,0
1,"28","28",1,0,0
2,"28","24",1,1,0
15,"28","29",1,0,0
23,"28","24",1,0,0
36,"28","35",1,0,0
38,"28","22",1,0,0
53,"28","28",1,0,0
58,"28","29",1,0,0
106,"28","26",0,0,0
26,"29","27",1,0,0
89,"29","34",1,0,0
57,"29","29",1,0,0
86,"29","27",1,0,0
24,"29","35",1,0,0
64,"29","29",1,0,0
66,"29","30",0,1,0
103,"29","28",0,0,0
78,"30","25",1,0,0
51,"30","28",1,0,0
4,"30","32",1,0,0
44,"30","35",0,0,0
63,"30","31",1,0,1
83,"30","33",1,0,0
73,"31","30",1,0,0
40,"31","28",1,0,0
30,"31","32",1,1,0
49,"31","28",0,0,0
81,"31","30",1,0,0
25,"31","28",0,0,0
11,"31","29",1,0,0
37,"32","32",1,0,0
67,"32","29",1,0,0
45,"33","29",1,1,1
61,"33","35",1,0,0
28,"34","34",1,0,0
35,"34","34",1,0,0
14,"34","35",1,1,1
6,"34","31",1,0,0
54,"35","34",1,1,1
46,"35","32",1,0,0
90,"35","35",1,0,0
72,"35","34",1,0,0
34,"35","35",1,0,0
31,"35","35",0,0,0
74,"35","35",1,1,0
